"FR_DEST","DMS ORIG","SCTG2","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total KTons in 2013","Total Ton-Mile in 2013","Total M$ in 2013","Total Current M$ in 2013","Total KTons in 2014","Total Ton-Mile in 2014","Total M$ in 2014","Total Current M$ in 2014","Total KTons in 2015","Total Ton-Mile in 2015","Total M$ in 2015","Total Current M$ in 2015"
"Europe","Nevada","Nonmetal min. prods.","0.152899732","0.086299522","11.2355023","0.199899638","0.354400021","20.05959988","32.1597","0.377204556","0.192100406","15.7755015","25.5015","0.36249814","0.187700628","15.560296","25.5663"
"Europe","Nevada","Base metals","0.343500096","0.5835","11.33999959","1.193603","1.90519978","26.638436","28.7864","1.5452971","2.39459666","36.3818543","39.2567","1.5636971","2.41850266","36.7433196","35.8754"
"Europe","Nevada","Articles-base metal","0.32209992964","0.351700166","18.887446056","0.37519981728","0.42470028964","21.44869805","32.3522","0.33610001","0.345299975","18.5889595981","26.9665","0.33299908","0.347400069","18.2316014981","26.359"
"Europe","Nevada","Machinery","1.2004002","0.89680497","36.87884","0.8729037","0.5246964","29.56999","43.5152","1.0172963","0.5734024","35.33639","53.648","0.9928014","0.5607973","34.45224","52.8057"
"Europe","Nevada","Electronics","1.38240039","1.866700125","250.383494","1.22299966","1.567199205","207.635899","218.7667","1.288303199","1.693200612","236.8833001","255.0292","1.260396399","1.663599902","232.3043025","248.4819"
"Europe","Nevada","Motorized vehicles","0.7035941","0.67889985","7.538807","0.722498","0.6838001","7.032427","10.3592","1.019795","1.00840074","9.44255","13.5632","0.9921058","0.99629996","9.1976","13.3463"
"Europe","Nevada","Transport equip.","0.1341000503","0.1292000288","21.55725084","0.215800005","0.203900025","33.3395989","44.5058","0.2358002438","0.3007000388","20.19449922","29.5945","0.2272999738","0.2853000388","19.75954253","29.4474"
"Europe","Nevada","Precision instruments","0.9719","1.168099698","164.448298","1.602600003","0.958497395","130.240198","172.4209","1.6257","0.9062035","101.6891","140.7185","1.5789","0.8766953","97.4973","136.8606"
"Europe","Nevada","Furniture","0.09410020981","0.1155996552","1.2303995159","0.160200990186","0.1125003618","3.91080288594","4.6602","0.33860179204","0.2279002637","4.2449028276","6.151","0.31760386286","0.216699408","3.9887015305","5.862"
"Europe","Nevada","Misc. mfg. prods.","1.0707953","1.06269986","3865.358329","1.3809003","0.85700093","2446.947367","2558.7325","1.5099023","1.2921003","2016.78312","2153.2972","1.4026992","1.2100996","1876.11162","2017.5596"
"Europe","Nevada","Waste/scrap","0.0747998252","0.0744002593","27.182402743","0.568201069","0.246103522","714.08893681","678.207","0.1089995335","0.1383004954","168.267495096","162.037","0.1067004548","0.135600464","162.955604836","115.6936"
"Europe","Nevada","Mixed freight","0","0","0.3292","0","0","0.3292","0.6688","0","0","0.3292","0.6886","0","0","0.332","0.6768"
"Europe","New Hampshire","Live animals/fish","0.0009","0.0001","0.026","0.0006","0","0.0155","0.0328","0.001","0.0001","0.0305","0.0754","0.0011","0.0001","0.0323","0.071"
"Europe","New Hampshire","Animal feed","0.0178","0.0057","0.231","0.0151","0.0048","0.1956","0.4064","0.0187","0.0059","0.2425","0.4984","0.0179","0.0057","0.2329","0.454"
"Europe","New Hampshire","Meat/seafood","2.0607015","0.62999966","8.3196988","1.6966002","0.547400012","6.689702","7.0188","1.0820003","0.33860007","4.3318973","5.3435","1.0140997","0.31779998","4.0586045","4.7957"
"Europe","New Hampshire","Milled grain prods.","0.0022","0.0007","0.0095","0.0118","0.004","0.0398","0.0405","0.189","0.0627","0.6865","0.6983","0.1698","0.0564","0.6158","0.6216"
"Europe","New Hampshire","Other foodstuffs","27.99410017","0.60089998","25.4238959","16.63519599","5.609599705","89.02674887","92.5348","17.49720036","5.7435004","96.6801397","110.3726","16.82419885","5.523899707","92.9670703","99.6585"
"Europe","New Hampshire","Alcoholic beverages","0.0418","0.009","0.0601","0.5966","0.1919","0.8046","0.8188","0.8671","0.2695","1.1769","1.2071","0.8881","0.2765","1.2049","1.2416"
"Europe","New Hampshire","Building stone","0.0304","0.0097","0.0597","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","New Hampshire","Nonmetallic minerals","0.0889","0.0281","0.2992","0.0312","0.0103","0.0996","0.1016","0.0276","0.0089","0.0893","0.1017","0.0266","0.0087","0.0864","0.1017"
"Europe","New Hampshire","Metallic ores","0.082","0.0529","0.0758","0","0","0","0","0","0","0","0","0","0","0","0"
"Europe","New Hampshire","Basic chemicals","0.2742","0.0849","4.8168","0.28040001","0.085200005","2.0635","2.3932","0.2004","0.063","1.689601","2.0162","0.1834","0.058","1.5482","1.6147"
"Europe","New Hampshire","Pharmaceuticals","0.0386","0.0253","0.846","0.0248","0.0066","0.7248","1.4169","0.0871","0.0173","1.7048","3.0739","0.0891","0.0177","1.7412","3.3596"
"Europe","New Hampshire","Fertilizers","0.0011","0.0005","0.0047","0","0","0","0","0","0","0","0","0","0","0","0"
